CUST_ID,INITIALS,CUST_NAME,ADDRESS1,ADDRESS2,ADDRESS3,CITY,STATE,COUNTRY,PIN_NO,MOBILE_NUMBER,EMAIL_ID,PAN,GENDER,BIRTH_DATE,AGE,CUST_TYPE,KYC_STATUS,DELIVERY_CHANNEL,RECORD_INSERT_DATE,PROCESSED_FLAG,PROCESSED_DATE,CHEQUE_NO,EFFECT_DATE,POL_NUM_TXT,REG_NO,ENGINE_NO,CHASSIS_NO,COVERNOTE_NO,PROPOSAL_NO,ENDORSEMENT_EFF_DATE,DOC_ID,VENDOR_PRIORITY,VENDOR_NAME,TELEPHONE_NO,NOMINEE_NAME,RELATIONSHIP,POLICY_NO,E_POLICY_NO,ISSUED_DATE,MAKER,MODEL_NO,BODY_TYPE,MANUFACTURE_YEAR,SEATING_CAPACITY,PREMIUM_AMOUNT,RECEIPT_DATE
8402,S,Suraj,maysur,maysur,maysur,maysur,Bihar,Peru,104137,305584322,Suraj32@gmail.com,Sur353S,Transgender,08/11/2006,32,Potential ,CustomerDueDiligence,G-Mail,08/11/2006,TRUE,08/11/2006,165314375,08/11/2006,374,1133,4662,2542,4984,5500,23/03/2005,6,1,AuthenticStreeSignsInc,643770,Suraj,SINGLE,8288,2865,05/04/2002,sinoploxpvt,1336,All,2002,10,826608,21/01/2001
731,K,Kapil,Ohio,Ohio,Ohio,Ohio,UP,India,240916,388880325,Kapil30@gmail.com,Kap537K,Male,18/02/1991,30,New ,OngoingMonitoring,courier,18/02/1991,FALSE,18/02/1991,523369163,18/02/1991,303,1827,2132,3863,6030,2563,11/03/1993,32,4,AuthenticStreeSignsInc,293688,Kapil,SINGLE,89,5048,25/04/1990,sinoploxpvt,6607,All,2010,1,631732,22/03/2000
6760,V,Vinay,Chicago,Chicago,Chicago,Chicago,Kerala,Afghanistan,794116,93439989,Vinay17@rediff.co.in,Vin317V,Male,22/08/1994,17,Potential ,CustomerDueDiligence,courier,22/08/1994,FALSE,22/08/1994,369972635,22/08/1994,984,3093,2974,4607,4245,1355,03/10/2004,39,3,ClubColorsBuyer,523076,Vinay,MARRID,9029,6371,23/07/2002, ACS ,4819,All,2010,6,942814,18/10/1995
9096,S,Siya,pune,pune,pune,pune,Jharkhand,Afghanistan,113479,904772193,Siya42@rediff.co.in,Siy743S,Female,01/12/1991,42,Loyal ,OngoingMonitoring,G-Mail,01/12/1991,TRUE,01/12/1991,865021082,01/12/1991,653,4689,4686,3477,7224,3547,03/06/2008,19,1,DriStickDecalCorp,522977,Siya,MARRID,2295,1766,24/09/1997, ACS ,771,All,2002,9,231151,11/06/2007
6351,N,Nikhil,Bhopal,Bhopal,Bhopal,Bhopal,Andhra Pradesh,Oman,848769,135929995,Nikhil20@gmail.com,Nik869N,Male,29/06/1998,20,Potential ,CustomerIdentificationProgram,courier,29/06/1998,FALSE,29/06/1998,627938031,29/06/1998,363,4448,4356,3138,7188,4281,22/01/2009,5,1,AlmaMaterLLC,123169,Nikhil,SINGLE,3359,9686,09/02/2003,Maruti.pvt,1224,All,2012,8,639005,12/11/1991
5512,S,Sachin,Texas,Texas,Texas,Texas,Gujarat,India,178400,528413789,Sachin37@gmail.com,Sac105S,Female,20/06/1993,37,Loyal ,OngoingMonitoring,G-Mail,20/06/1993,TRUE,20/06/1993,624851848,20/06/1993,177,1504,4191,2463,3201,5083,19/06/2003,19,3,DriStickDecalCorp,322317,Sachin,MARRID,8638,1128,18/11/2004,sinoploxpvt,5757,All,2001,11,791692,10/06/1995
2845,S,Sachin,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Gujarat,Brazil,166360,733953284,Sachin33@gmail.com,Sac226S,Female,04/07/2001,33,Potential ,CustomerIdentificationProgram,G-Mail,04/07/2001,FALSE,04/07/2001,671514308,04/07/2001,950,4398,4328,2471,2582,9982,12/06/1996,19,3,DriStickDecalCorp,302086,Sachin,MARRID,8179,3430,02/08/1994,Maruti.pvt,875,All,1991,8,482129,15/12/2004
7445,T,Tesla,Texas,Texas,Texas,Texas,Gujarat,Afghanistan,903966,173146059,Tesla19@yahoo.com,Tes790T,Female,14/04/1993,19,Potential ,CustomerDueDiligence,courier,14/04/1993,FALSE,14/04/1993,729727835,14/04/1993,814,4321,3547,2722,6462,2596,19/04/1998,37,4,ImprintInc,672721,Tesla,SINGLE,5453,3041,29/07/1996,RTO,9412,All,2004,8,289007,01/06/2002
9890,A,Anamika,Texas,Texas,Texas,Texas,Bihar,Pakistan,850134,987567409,Anamika58@yahoo.com,Ana290A,Transgender,17/12/1996,58,New ,CustomerDueDiligence,G-Mail,17/12/1996,FALSE,17/12/1996,259616240,17/12/1996,848,3080,3155,3577,8352,2237,07/10/1999,15,3,AlmaMaterLLC,412436,Anamika,SINGLE,9050,9035,24/02/1998, ACS ,666,All,2003,1,652179,05/12/1995
9001,T,Tesla,hyd,hyd,hyd,hyd,Gujarat,Albania,139438,981008268,Tesla48@rediff.co.in,Tes207T,Female,05/09/2006,48,New ,CustomerDueDiligence,courier,05/09/2006,FALSE,05/09/2006,978501863,05/09/2006,492,3234,2858,2071,4267,9303,27/07/2004,48,1,DriStickDecalCorp,793544,Tesla,MARRID,4300,731,01/06/2005,RTO,7674,All,1996,6,324199,10/03/2001
4582,V,Vinay,maysur,maysur,maysur,maysur,MP,Oman,971101,861244429,Vinay50@rediff.co.in,Vin505V,Female,11/03/2003,50,Potential ,CustomerIdentificationProgram,G-Mail,11/03/2003,FALSE,11/03/2003,593711870,11/03/2003,921,4369,3371,4803,2820,8577,07/01/1990,42,3,AlmaMaterLLC,163854,Vinay,SINGLE,5919,6651,26/07/2007,Maruti.pvt,9192,All,2015,9,434534,30/10/2005
5148,A,Anand,Missouri,Missouri,Missouri,Missouri,UP,Peru,293717,441064722,Anand19@yahoo.com,Ana194A,Male,02/10/1997,19,Potential ,OngoingMonitoring,G-Mail,02/10/1997,TRUE,02/10/1997,140011419,02/10/1997,364,1223,3186,4253,8485,5372,08/04/1996,42,2,AuthenticStreeSignsInc,413830,Anand,SINGLE,3803,325,03/02/2007, ACS ,8369,All,1999,2,462376,01/10/1993
752,S,Sachin,Missouri,Missouri,Missouri,Missouri,Gujarat,Brazil,988008,707146918,Sachin55@yahoo.com,Sac686S,Transgender,27/06/2008,55,Loyal ,CustomerIdentificationProgram,G-Mail,27/06/2008,TRUE,27/06/2008,139794031,27/06/2008,538,2115,2744,2764,39,1484,19/11/2008,38,3,AlmaMaterLLC,773392,Sachin,MARRID,7730,1007,03/02/1998,RTA,1077,All,1993,8,828042,15/06/2006
9418,A,Anamika,Missouri,Missouri,Missouri,Missouri,UP,Albania,537055,112579051,Anamika25@rediff.co.in,Ana254A,Transgender,05/05/2007,25,Loyal ,OngoingMonitoring,courier,05/05/2007,FALSE,05/05/2007,437696174,05/05/2007,941,3604,3074,2688,5589,2126,01/09/2009,14,4,BroderBros,353466,Anamika,MARRID,6903,8465,14/11/2007, ACS ,9411,All,2006,7,909544,29/10/2001
5732,S,Siya,Chicago,Chicago,Chicago,Chicago,Jharkhand,Oman,506419,712431798,Siya55@gmail.com,Siy343S,Male,25/07/1995,55,Loyal ,CustomerIdentificationProgram,courier,25/07/1995,FALSE,25/07/1995,540122910,25/07/1995,378,1356,2174,2698,1671,6371,15/06/2004,39,2,ImprintInc,753440,Siya,SINGLE,3637,1155,26/06/1991,RTA,4116,All,2005,3,292874,05/01/1997
5645,T,Tesla,Oregon,Oregon,Oregon,Oregon,Jharkhand,India,903606,743668597,Tesla18@yahoo.com,Tes593T,Female,09/01/2002,18,Impulsive,CustomerIdentificationProgram,courier,09/01/2002,FALSE,09/01/2002,245806803,09/01/2002,581,3721,2919,3004,469,3359,13/12/2007,30,2,AuthenticStreeSignsInc,482373,Tesla,SINGLE,2859,6960,13/01/1999,RTA,5221,All,2013,7,754364,29/08/2004
9076,A,Abhishek,Nagpur,Nagpur,Nagpur,Nagpur,Jharkhand,Brazil,986136,362221592,Abhishek39@yahoo.com,Abh952A,Transgender,18/03/1999,39,New ,CustomerDueDiligence,G-Mail,18/03/1999,FALSE,18/03/1999,441207774,18/03/1999,835,4539,2092,4410,7416,9729,04/01/1997,6,3,DriStickDecalCorp,352615,Abhishek,MARRID,316,2281,08/05/2000,sinoploxpvt,9638,All,1992,5,54043,21/03/1993
2594,N,Nikhil,Texas,Texas,Texas,Texas,Bihar,Oman,698974,844633106,Nikhil17@gmail.com,Nik463N,Male,22/05/2003,17,Impulsive,CustomerDueDiligence,G-Mail,22/05/2003,TRUE,22/05/2003,668677770,22/05/2003,874,1637,2534,3933,2275,5349,14/10/2002,29,1,DriStickDecalCorp,942567,Nikhil,SINGLE,9468,8758,13/10/1992,sinoploxpvt,5304,All,1994,4,861355,02/05/2001
7111,N,Neeraj,Delhi,Delhi,Delhi,Delhi,Andhra Pradesh,Oman,170480,953342298,Neeraj32@yahoo.com,Nee914N,Female,01/01/1993,32,Impulsive,CustomerDueDiligence,courier,01/01/1993,TRUE,01/01/1993,523120168,01/01/1993,857,3386,4500,4738,8425,7122,24/06/2003,17,2,ImprintInc,512188,Neeraj,SINGLE,3450,1822,29/06/2001,sinoploxpvt,7807,All,2002,9,784781,08/03/1991
5029,N,Nikhil,Chicago,Chicago,Chicago,Chicago,UP,Pakistan,136921,303586116,Nikhil46@yahoo.com,Nik814N,Transgender,01/11/2009,46,Impulsive,CustomerDueDiligence,G-Mail,01/11/2009,TRUE,01/11/2009,594029295,01/11/2009,138,1274,4045,4784,861,8555,10/04/2000,18,4,ClubColorsBuyer,162388,Nikhil,SINGLE,5156,6593,23/05/2003,RTA,2787,All,1997,11,895099,05/03/1996
548,A,Anamika,California,California,California,California,Andhra Pradesh,Oman,601936,772379153,Anamika24@gmail.com,Ana677A,Female,26/08/2007,24,Impulsive,OngoingMonitoring,G-Mail,26/08/2007,FALSE,26/08/2007,638424742,26/08/2007,449,4706,2974,4131,1593,9675,18/05/1993,21,2,DriStickDecalCorp,623981,Anamika,MARRID,8928,5248,05/07/1994, ACS ,6034,All,2003,9,459261,06/09/2008
2068,S,Smith,Ohio,Ohio,Ohio,Ohio,MP,India,780790,14026634,Smith22@rediff.co.in,Smi693S,Transgender,02/08/2006,22,Loyal ,OngoingMonitoring,courier,02/08/2006,TRUE,02/08/2006,342451358,02/08/2006,684,1459,3131,2256,8659,8548,24/07/1991,33,3,AuthenticStreeSignsInc,382754,Smith,SINGLE,927,6549,26/02/1997,RTO,6428,All,2009,2,54092,08/02/2006
7807,S,Subba,Delhi,Delhi,Delhi,Delhi,Jharkhand,Oman,286074,77065027,Subba33@yahoo.com,Sub872S,Female,12/02/2005,33,Potential ,CustomerDueDiligence,courier,12/02/2005,TRUE,12/02/2005,120349087,12/02/2005,499,2949,2504,2850,2009,166,20/02/1995,25,4,AlmaMaterLLC,323857,Subba,MARRID,5986,7745,22/08/2005,RTO,9569,All,1990,7,934352,23/11/1993
5995,T,Tesla,Oregon,Oregon,Oregon,Oregon,Jharkhand,Afghanistan,473359,103067427,Tesla17@rediff.co.in,Tes723T,Transgender,06/12/2001,17,Potential ,CustomerIdentificationProgram,courier,06/12/2001,FALSE,06/12/2001,592850592,06/12/2001,638,2138,2776,3307,8033,8867,16/09/1997,13,3,ClubColorsBuyer,632432,Tesla,SINGLE,9688,3611,07/04/2007, ACS ,7877,All,2003,1,210054,22/06/2000
8267,V,Vinay,Missouri,Missouri,Missouri,Missouri,Goa,Oman,685993,223295313,Vinay18@gmail.com,Vin153V,Female,17/02/2004,18,Impulsive,CustomerIdentificationProgram,G-Mail,17/02/2004,FALSE,17/02/2004,799018993,17/02/2004,825,1602,4216,3788,7354,1760,28/06/1992,38,4,DriStickDecalCorp,193157,Vinay,MARRID,3984,8107,29/07/2006, ACS ,3755,All,2003,7,974107,03/01/2008
2996,A,Anamika,Houston,Houston,Houston,Houston,Bihar,Afghanistan,506812,335915591,Anamika54@yahoo.com,Ana663A,Male,29/10/2002,54,Loyal ,CustomerIdentificationProgram,G-Mail,29/10/2002,FALSE,29/10/2002,173312063,29/10/2002,474,2785,4661,2039,5396,4748,19/12/1996,25,4,ImprintInc,592126,Anamika,MARRID,4919,8365,06/04/1999,Maruti.pvt,5600,All,2010,7,488831,28/10/2004
8813,S,Siya,Los Angeles,Los Angeles,Los Angeles,Los Angeles,UP,Pakistan,533733,829366543,Siya59@rediff.co.in,Siy590S,Female,26/02/2003,59,Potential ,OngoingMonitoring,courier,26/02/2003,TRUE,26/02/2003,216053054,26/02/2003,710,3359,4771,4922,2813,691,01/03/1993,13,1,BroderBros,412387,Siya,SINGLE,3667,9546,20/04/1991, ACS ,9428,All,1997,2,37775,02/07/2000
3465,A,Abhishek,Texas,Texas,Texas,Texas,UP,Peru,828131,478449323,Abhishek49@yahoo.com,Abh877A,Male,17/02/1996,49,Potential ,CustomerDueDiligence,G-Mail,17/02/1996,TRUE,17/02/1996,402406044,17/02/1996,158,3443,4717,2460,7692,5667,03/06/1993,17,1,ImprintInc,222447,Abhishek,SINGLE,761,8523,07/09/1999, ACS ,3418,All,2015,4,965099,21/06/1996
526,S,Smith,Kentucky,Kentucky,Kentucky,Kentucky,Kerala,Albania,342309,882462873,Smith18@gmail.com,Smi858S,Male,21/04/2005,18,Potential ,CustomerDueDiligence,courier,21/04/2005,FALSE,21/04/2005,481485731,21/04/2005,936,4730,4385,2622,4282,7848,15/10/1994,23,1,DriStickDecalCorp,513358,Smith,MARRID,3525,5665,11/05/1991, ACS ,9892,All,2015,9,866177,17/06/2002
2852,S,Sachin,hyd,hyd,hyd,hyd,Gujarat,Peru,675380,66070852,Sachin57@gmail.com,Sac683S,Male,28/01/1999,57,Potential ,OngoingMonitoring,courier,28/01/1999,TRUE,28/01/1999,482429392,28/01/1999,123,3627,3004,3300,9266,7509,05/03/2002,37,4,AuthenticStreeSignsInc,383811,Sachin,MARRID,3497,3856,26/01/2009, ACS ,2129,All,2010,8,76128,10/05/1992
7221,A,Anand,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Kerala,Peru,149208,594523499,Anand37@yahoo.com,Ana298A,Transgender,09/03/2008,37,Loyal ,CustomerIdentificationProgram,G-Mail,09/03/2008,FALSE,09/03/2008,323288118,09/03/2008,548,3214,4546,3640,1372,3354,25/08/2004,8,4,ImprintInc,942799,Anand,MARRID,3187,2773,31/05/1996,RTO,525,All,2019,9,172549,20/01/1998
5568,T,Tesla,Bhopal,Bhopal,Bhopal,Bhopal,Gujarat,India,322455,864679341,Tesla27@yahoo.com,Tes596T,Male,11/08/1991,27,New ,CustomerDueDiligence,G-Mail,11/08/1991,FALSE,11/08/1991,690341706,11/08/1991,653,3597,3740,3706,9431,3395,04/02/2005,33,3,DriStickDecalCorp,342728,Tesla,MARRID,2207,9515,01/05/1993, ACS ,5724,All,2009,3,198853,06/08/2001
1356,V,Vinay,hyd,hyd,hyd,hyd,Jharkhand,India,701298,762977872,Vinay53@gmail.com,Vin668V,Transgender,19/01/2005,53,Loyal ,CustomerIdentificationProgram,G-Mail,19/01/2005,TRUE,19/01/2005,881686187,19/01/2005,473,1100,2490,4683,3247,8957,17/11/1996,45,3,ClubColorsBuyer,652635,Vinay,SINGLE,9606,2122,02/01/1999,sinoploxpvt,4506,All,1991,5,433583,04/04/2002
3878,P,Parul,Kentucky,Kentucky,Kentucky,Kentucky,Andhra Pradesh,Peru,335148,573941347,Parul28@gmail.com,Par129P,Transgender,11/03/2005,28,Potential ,CustomerDueDiligence,courier,11/03/2005,TRUE,11/03/2005,198124365,11/03/2005,195,4816,4695,2795,1339,4608,26/11/1996,37,1,ImprintInc,713480,Parul,MARRID,8052,175,11/08/2009,Maruti.pvt,7693,All,2006,5,585312,27/07/2001
5426,S,Sachin,Nevada,Nevada,Nevada,Nevada,Kerala,Pakistan,575126,523880629,Sachin22@rediff.co.in,Sac244S,Female,28/06/1999,22,New ,CustomerDueDiligence,G-Mail,28/06/1999,TRUE,28/06/1999,371139588,28/06/1999,134,3770,4735,3780,2111,9129,12/12/1999,38,2,ImprintInc,412781,Sachin,SINGLE,8158,5824,27/01/2001,RTO,7862,All,2014,7,965959,30/03/2009
3961,K,Kapil,Delhi,Delhi,Delhi,Delhi,Gujarat,Afghanistan,209201,524480197,Kapil44@yahoo.com,Kap239K,Male,16/11/2007,44,Loyal ,OngoingMonitoring,courier,16/11/2007,TRUE,16/11/2007,896558709,16/11/2007,664,3611,3491,3996,8076,6458,19/09/1996,22,2,AlmaMaterLLC,722846,Kapil,MARRID,7146,5617,25/09/1991,RTO,2185,All,1999,1,711655,24/03/1999
6074,S,Subba,Oregon,Oregon,Oregon,Oregon,Kerala,Pakistan,195341,754496624,Subba23@yahoo.com,Sub400S,Transgender,10/04/2004,23,Potential ,OngoingMonitoring,G-Mail,10/04/2004,FALSE,10/04/2004,380111411,10/04/2004,944,1817,4303,3036,9755,6898,24/06/2002,11,4,ClubColorsBuyer,393228,Subba,SINGLE,90,8126,05/11/1997,RTO,3194,All,2008,8,71554,10/12/1993
4822,T,Tarun,Ohio,Ohio,Ohio,Ohio,Jharkhand,India,911027,117711673,Tarun48@gmail.com,Tar372T,Female,06/02/1992,48,Impulsive,OngoingMonitoring,courier,06/02/1992,FALSE,06/02/1992,940498835,06/02/1992,269,1815,3724,4290,6729,7517,24/06/1990,15,2,ClubColorsBuyer,652434,Tarun,MARRID,8382,2276,26/02/1997,sinoploxpvt,8980,All,1996,10,90191,14/03/1995
2471,S,Siya,Missouri,Missouri,Missouri,Missouri,Goa,Peru,493383,756956924,Siya28@rediff.co.in,Siy949S,Female,31/10/1992,28,Impulsive,CustomerDueDiligence,G-Mail,31/10/1992,TRUE,31/10/1992,436371554,31/10/1992,798,1705,4634,4060,3626,7900,25/03/1993,12,2,AuthenticStreeSignsInc,213718,Siya,SINGLE,9231,6703,17/05/1991,sinoploxpvt,1973,All,2018,6,762814,22/03/1991
