POLICY_NO,POLICY_NAME,RECEIPT_DATE,PAYMENT_MODE,CHEQUE_NO,CHEQUE_DATE,CHEQUE_AMT,EXCESS_PREMIUM_PAID,PREMIUM_AMT,DEPOSIT_AMT,SERVICE_TAX,EDU_CESS,TOTAL_PREMIUM,TOTAL_FUND_VALUE,PAYABLE_BY,PREMIUM_PAY_FREQUENCY,PREMIUM_PAYMENT,ANNUAL_PREMIUM,POLICY_STATUS,REASON,REMERK,DUE_DATE,NEXT_PREMIUM_DUE_DATE,TOT_PREMIUM,LIFE_ASSURED_NAME,CUSTOMER_ID,RECEIPT_NO,BASE_PLAN_PRODUCT_NAME,BASE_PREMIUM_PAID,BASE_PREMIUM_PAID_TAX,BASE_PREMIUM_DUE,BASE_PREMIUM_TAX_SECTION,RIDER_NAME_1,RIDER_PREMIUM_PAID_1,RIDER_PREMIUM_PAID_1_TAX,RIDER_PREMIUM_DUE_1,RIDER_TAX_SECTION_1,PROCESSED_FLAG,PROCESSED_DATE,INSER_DT_TM
24,HealthSuraksha,24/01/2014,cash,159095860,17/10/2019,4124,10081,13210,11551,1721,136,23291,164873,LifePayMoneyBack,yearly,269240,3230880,PREMIUM,Health,Its Good,18116,15/01/2020,282450,Surendra,100,5907,Property-Insurance,44448,2993,29448,80BB,Critical-illness-rider,15573,-74427,10573,150CB,FALSE,19/06/2020,22/03/2020
25,HealthSuraksha,21/07/2000,email,614356550,04/05/2019,6740,12376,14068,9259,1095,172,26444,32137,iHealthPlan,yearly,480166,5761992,PREMIUM,educational ,Please-pay-your-installment,17903,31/07/2020,494234,Shubham,4315,6397,Property-Insurance,33192,2494,18192,120CC,Critical-illness-rider,18908,-71092,13908,150CB,TRUE,12/04/2020,15/12/2020
26,iHealthPlan,28/07/2016,cash,853050630,31/01/2019,7554,15092,15138,15017,973,159,30230,197625,LifePayMoneyBack,yearly,496538,5958456,PREMIUM,educational ,Please-pay-your-installment,18002,13/11/2020,511676,Raja,9912,1813,Health-Insurance,46759,3956,31759,80BB,Critical-illness-rider,36482,-53518,31482,50BC,TRUE,09/07/2020,17/05/2020
27,LifePayMoneyBack,01/05/1995,email,274629640,25/05/2019,8053,16733,17478,15421,149,162,34211,269447,HeartBeat,half-yearly,413787,4965444,NON-PREMIUM,educational ,Please-pay-your-installment,18051,30/03/2020,431265,Shubham,7487,5855,Car-Insurance,30838,1309,15838,80CCC,Disability-rider,33796,-56204,28796,50BC,TRUE,23/05/2020,24/08/2020
28,HealthSuraksha,28/08/1997,email,905423421,20/07/2019,1826,10424,12106,9530,1086,197,22530,159786,LifePayMoneyBack,half-yearly,460979,5531748,PREMIUM,Personal-liberty,Please-pay-your-installment,18103,08/11/2020,473085,Sona,368,6740,Property-Insurance,32275,1601,17275,80CCC,Critical-illness-rider,15930,-74070,10930,150CB,FALSE,23/06/2020,14/06/2020
29,HealthSuraksha,22/03/2008,cash,920538642,12/11/2019,6624,18187,12957,14586,1516,176,31144,70175,LifePayMoneyBack,quarterly ,354314,4251768,PREMIUM,Personal-liberty,Its Good,18095,07/03/2020,367271,Sourabh,6878,8713,Property-Insurance,29544,1095,14544,80CCC,Accidental-death-benefit-rider,10344,-79656,5344,80CCC,TRUE,17/01/2020,05/10/2020
30,HealthSuraksha,30/11/1997,cash,679387904,05/06/2019,4998,13090,16578,13213,157,136,29668,354769,HeartBeat,yearly,278736,3344832,NON-PREMIUM,Health,Its Good,18166,10/07/2020,295314,Raja,1944,5601,Property-Insurance,25860,3980,10860,80BB,Critical-illness-rider,23088,-66912,18088,80CCC,FALSE,16/04/2020,12/04/2020
31,HeartBeat,19/12/1996,email,619541784,11/12/2019,3309,12736,12706,6160,676,155,25442,85399,HealthSuraksha,half-yearly,101099,1213188,PREMIUM,Health,Please-pay-your-installment,18207,23/11/2020,113805,Sona,8316,8321,Health-Insurance,25326,4087,10326,120CC,Accidental-death-benefit-rider,14017,-75983,9017,80CCC,FALSE,05/05/2020,28/04/2020
32,LifePayMoneyBack,14/05/2014,online,356197467,29/08/2019,6511,10011,18094,11658,1460,130,28105,236491,HealthSuraksha,half-yearly,195901,2350812,NON-PREMIUM,educational ,Please-pay-your-installment,17990,27/08/2020,213995,Surendra,9361,6482,Car-Insurance,40612,4849,25612,80BB,Critical-illness-rider,35106,-54894,30106,150CB,TRUE,18/02/2020,24/11/2020
33,HeartBeat,20/06/2009,email,696772530,19/04/2019,4671,19167,13893,15284,779,187,33060,342534,HealthSuraksha,yearly,155816,1869792,NON-PREMIUM,Personal-liberty,Please-pay-your-installment,17906,24/03/2020,169709,Sona,9717,9580,Car-Insurance,36823,3669,21823,80BB,Disability-rider,14342,-75658,9342,50BC,FALSE,15/04/2020,07/09/2020
34,HealthSuraksha,19/02/2014,email,198493696,12/02/2019,6351,19373,17910,1000,469,148,37283,348732,HealthSuraksha,yearly,302141,3625692,PREMIUM,Personal-liberty,Its Good,18073,27/12/2020,320051,Surendra,7726,1068,Car-Insurance,25540,3446,10540,80BB,Term-rider,26176,-63824,21176,80CCC,TRUE,17/08/2020,04/03/2020
35,HeartBeat,30/03/2017,cash,690981175,14/03/2019,8819,18736,10215,19146,1747,152,28951,352962,HeartBeat,half-yearly,62668,752016,NON-PREMIUM,Health,Please-pay-your-installment,17945,26/06/2020,72883,Raja,2027,269,Property-Insurance,36015,2977,21015,120CC,Accidental-death-benefit-rider,26664,-63336,21664,80CCC,FALSE,18/11/2020,29/07/2020
36,iHealthPlan,29/01/1992,online,254271149,10/11/2019,1233,14912,17267,1581,1480,140,32179,339323,HealthSuraksha,yearly,112830,1353960,NON-PREMIUM,Health,Its Good,18175,24/01/2020,130097,Raja,464,1886,Car-Insurance,41697,3289,26697,80CCC,Critical-illness-rider,24357,-65643,19357,50BC,TRUE,28/01/2020,14/03/2020
37,iHealthPlan,01/06/2000,online,514068796,18/09/2019,1903,13846,11966,5219,1765,108,25812,449407,HeartBeat,half-yearly,226197,2714364,PREMIUM,Health,Please-pay-your-installment,18162,22/01/2020,238163,Raja,5261,7262,Health-Insurance,43799,1402,28799,80CCC,Critical-illness-rider,32386,-57614,27386,150CB,TRUE,19/09/2020,24/10/2020
38,LifePayMoneyBack,01/06/2017,online,948147477,19/04/2019,5825,13650,17173,12339,1237,163,30823,384525,HeartBeat,half-yearly,422345,5068140,NON-PREMIUM,Personal-liberty,Its Good,18058,26/07/2020,439518,Raja,7924,8903,Health-Insurance,21980,1459,6980,120CC,Critical-illness-rider,35863,-54137,30863,150CB,FALSE,04/01/2020,02/12/2020
39,LifePayMoneyBack,01/06/1997,cash,892213062,29/01/2019,3249,10376,17463,7908,1988,159,27839,286545,iHealthPlan,half-yearly,300487,3605844,NON-PREMIUM,Health,Please-pay-your-installment,17996,15/03/2020,317950,Raja,7332,7326,Health-Insurance,39978,3398,24978,80BB,Disability-rider,37210,-52790,32210,150CB,FALSE,20/01/2020,23/08/2020
40,LifePayMoneyBack,13/10/2000,online,345884357,01/03/2019,5083,11722,15873,16112,1897,176,27595,288270,LifePayMoneyBack,half-yearly,201713,2420556,PREMIUM,Health,Please-pay-your-installment,18250,16/05/2020,217586,Sourabh,9573,7285,Car-Insurance,38784,4861,23784,80BB,Disability-rider,29221,-60779,24221,150CB,TRUE,27/07/2020,05/01/2020
41,LifePayMoneyBack,04/04/2005,online,432882976,29/10/2019,9143,19660,17396,18558,578,144,37056,267910,LifePayMoneyBack,quarterly ,369098,4429176,NON-PREMIUM,Personal-liberty,Please-pay-your-installment,18093,19/05/2020,386494,Shubham,2386,9353,Life-Cover,36223,4770,21223,80CCC,Accidental-death-benefit-rider,25430,-64570,20430,50BC,TRUE,27/05/2020,02/06/2020
42,HeartBeat,09/06/2014,email,678496276,05/10/2019,7458,15209,17777,13607,1650,102,32986,79477,LifePayMoneyBack,yearly,124069,1488828,PREMIUM,educational ,Its Good,17929,16/01/2020,141846,Shubham,1581,3655,Property-Insurance,46300,1574,31300,80BB,Accidental-death-benefit-rider,30437,-59563,25437,80CCC,TRUE,09/08/2020,18/11/2020
43,HeartBeat,15/12/2002,cash,866652922,18/11/2019,2479,14561,19129,17712,1404,116,33690,435328,HealthSuraksha,yearly,51509,618108,NON-PREMIUM,Health,Please-pay-your-installment,18084,10/09/2020,70638,Surendra,3579,7576,Health-Insurance,29323,2291,14323,80BB,Critical-illness-rider,49222,-40778,44222,150CB,FALSE,25/12/2020,26/12/2020
44,HealthSuraksha,01/07/2003,online,964947597,10/12/2019,7350,12830,17897,10239,1338,144,30727,415348,iHealthPlan,quarterly ,220390,2644680,NON-PREMIUM,Personal-liberty,Its Good,18114,05/09/2020,238287,Sona,5884,5726,Health-Insurance,35996,1466,20996,80CCC,Term-rider,18257,-71743,13257,80CCC,TRUE,08/11/2020,02/08/2020
45,HealthSuraksha,30/10/2011,cash,329111123,25/07/2019,8029,18387,11886,4509,290,111,30273,149760,iHealthPlan,half-yearly,450552,5406624,PREMIUM,Personal-liberty,Its Good,17987,08/12/2020,462438,Sona,7511,7387,Property-Insurance,41174,1440,26174,80CCC,Term-rider,47702,-42298,42702,80CCC,TRUE,02/08/2020,07/11/2020
46,HealthSuraksha,16/03/2000,cash,767244551,31/01/2019,6528,15006,16806,15052,1565,145,31812,423017,HeartBeat,yearly,199026,2388312,PREMIUM,Personal-liberty,Its Good,18252,14/03/2020,215832,Raja,5014,3969,Life-Cover,45592,2655,30592,80BB,Term-rider,47696,-42304,42696,80CCC,FALSE,01/07/2020,11/03/2020
47,HealthSuraksha,14/02/1998,cash,227942438,21/10/2019,9639,10882,12604,2439,639,105,23486,104709,iHealthPlan,quarterly ,85146,1021752,NON-PREMIUM,Health,Its Good,18143,05/12/2020,97750,Sona,7854,7234,Car-Insurance,28890,4911,13890,80BB,Critical-illness-rider,32743,-57257,27743,80CCC,FALSE,01/05/2020,23/01/2020
48,iHealthPlan,13/08/2015,online,849631599,20/11/2019,2513,12182,16904,3539,998,122,29086,303856,iHealthPlan,quarterly ,148053,1776636,NON-PREMIUM,Personal-liberty,Please-pay-your-installment,17994,12/04/2020,164957,Raja,8315,3764,Car-Insurance,35300,4471,20300,80CCC,Critical-illness-rider,39494,-50506,34494,150CB,FALSE,01/03/2020,10/04/2020
49,LifePayMoneyBack,07/06/1993,email,361920294,13/02/2019,9239,10810,11702,11890,1669,151,22512,326586,HealthSuraksha,quarterly ,63670,764040,NON-PREMIUM,Health,Please-pay-your-installment,17938,07/07/2020,75372,Raja,9542,4831,Property-Insurance,20352,3638,5352,120CC,Critical-illness-rider,29206,-60794,24206,80CCC,TRUE,14/06/2020,14/03/2020
50,HeartBeat,05/04/1996,email,928560713,06/02/2019,3939,10240,14468,19480,223,133,24708,452821,iHealthPlan,yearly,111316,1335792,NON-PREMIUM,Personal-liberty,Please-pay-your-installment,18237,08/08/2020,125784,Surendra,870,1231,Health-Insurance,34974,2225,19974,80CCC,Term-rider,15205,-74795,10205,50BC,TRUE,03/05/2020,13/03/2020
51,iHealthPlan,27/04/2004,email,587535411,02/10/2019,1366,19054,11846,17545,988,103,30900,248847,iHealthPlan,yearly,430198,5162376,PREMIUM,Health,Its Good,18248,28/10/2020,442044,Surendra,3996,8513,Car-Insurance,48082,1221,33082,80CCC,Disability-rider,16838,-73162,11838,50BC,TRUE,16/11/2020,01/03/2020
52,HealthSuraksha,29/07/2018,online,759235705,12/02/2019,6917,15476,15501,14459,1497,149,30977,128273,HeartBeat,yearly,175755,2109060,PREMIUM,Health,Please-pay-your-installment,17964,02/02/2020,191256,Shubham,3924,5060,Life-Cover,37685,4312,22685,80CCC,Accidental-death-benefit-rider,23158,-66842,18158,50BC,FALSE,25/01/2020,06/12/2020
53,iHealthPlan,06/06/1992,cash,136933468,25/11/2019,9859,18171,17613,4750,1381,176,35784,114031,iHealthPlan,quarterly ,490396,5884752,NON-PREMIUM,Health,Please-pay-your-installment,18105,11/11/2020,508009,Raja,3662,818,Health-Insurance,48641,1275,33641,80BB,Critical-illness-rider,15715,-74285,10715,80CCC,TRUE,08/12/2020,09/09/2020
54,HeartBeat,30/11/2002,email,523297648,11/10/2019,8174,16699,19409,19209,252,138,36108,195961,iHealthPlan,yearly,314139,3769668,NON-PREMIUM,educational ,Please-pay-your-installment,18222,10/12/2020,333548,Shubham,3717,4867,Property-Insurance,33105,2635,18105,80BB,Critical-illness-rider,16053,-73947,11053,50BC,FALSE,26/03/2020,02/04/2020
55,HealthSuraksha,29/07/2018,email,497739376,07/09/2019,4905,13472,18661,2514,1730,122,32133,250177,iHealthPlan,quarterly ,333025,3996300,NON-PREMIUM,educational ,Its Good,17985,09/09/2020,351686,Shubham,7875,3494,Car-Insurance,28718,2151,13718,120CC,Critical-illness-rider,26165,-63835,21165,80CCC,FALSE,28/12/2020,12/08/2020
56,LifePayMoneyBack,20/02/2016,online,626759028,06/02/2019,9877,12386,17237,16424,507,127,29623,466670,HealthSuraksha,quarterly ,308468,3701616,NON-PREMIUM,Personal-liberty,Please-pay-your-installment,17992,12/06/2020,325705,Sona,126,1510,Health-Insurance,20351,2286,5351,80CCC,Accidental-death-benefit-rider,18975,-71025,13975,80CCC,TRUE,31/03/2020,08/12/2020
57,HealthSuraksha,08/09/2001,online,303435406,30/06/2019,9391,13531,14067,8914,1804,126,27598,221093,HealthSuraksha,yearly,409082,4908984,NON-PREMIUM,Personal-liberty,Please-pay-your-installment,18251,27/10/2020,423149,Sona,3271,8718,Life-Cover,26669,3758,11669,80CCC,Term-rider,24475,-65525,19475,50BC,TRUE,19/06/2020,15/02/2020
58,HealthSuraksha,21/11/1991,cash,942052719,23/11/2019,4329,12877,15131,18914,1405,133,28008,358576,LifePayMoneyBack,half-yearly,188010,2256120,PREMIUM,Health,Please-pay-your-installment,17989,17/11/2020,203141,Raja,431,5020,Health-Insurance,48762,3826,33762,120CC,Accidental-death-benefit-rider,38816,-51184,33816,150CB,FALSE,29/10/2020,16/04/2020
59,LifePayMoneyBack,05/03/2000,email,119898045,23/07/2019,6751,16922,15399,10472,374,121,32321,252184,iHealthPlan,yearly,163068,1956816,PREMIUM,educational ,Its Good,17918,01/11/2020,178467,Shubham,5373,8776,Life-Cover,41849,2285,26849,80BB,Critical-illness-rider,19991,-70009,14991,80CCC,FALSE,06/06/2020,23/08/2020
60,iHealthPlan,11/12/1993,online,679626005,31/10/2019,9608,14544,13368,2128,611,190,27912,116042,HealthSuraksha,half-yearly,426629,5119548,PREMIUM,Personal-liberty,Its Good,18069,04/02/2020,439997,Surendra,3379,5550,Car-Insurance,22103,3156,7103,80BB,Critical-illness-rider,46111,-43889,41111,150CB,TRUE,25/11/2020,10/07/2020
61,HealthSuraksha,19/04/1995,online,564392746,22/03/2019,2642,11561,15842,17004,1810,173,27403,340012,iHealthPlan,yearly,381622,4579464,PREMIUM,Health,Its Good,18123,27/11/2020,397464,Sona,2290,2662,Car-Insurance,26076,3205,11076,80BB,Disability-rider,44819,-45181,39819,80CCC,TRUE,01/03/2020,01/03/2020
62,iHealthPlan,02/03/1995,email,192327226,02/07/2019,5705,11426,17086,10040,1815,106,28512,78680,HealthSuraksha,quarterly ,150557,1806684,NON-PREMIUM,Health,Please-pay-your-installment,18179,15/03/2020,167643,Sourabh,928,7104,Life-Cover,48270,1940,33270,80CCC,Term-rider,13172,-76828,8172,150CB,TRUE,22/04/2020,01/03/2020
63,HealthSuraksha,25/01/2005,online,128147035,13/11/2019,2044,15815,15742,6635,312,101,31557,354007,HealthSuraksha,yearly,194327,2331924,PREMIUM,educational ,Its Good,18194,31/10/2020,210069,Raja,9422,9903,Car-Insurance,45726,2764,30726,80CCC,Term-rider,25184,-64816,20184,80CCC,FALSE,19/12/2020,16/02/2020
64,HeartBeat,22/06/2018,email,408080949,07/05/2019,3913,10688,18979,3982,874,195,29667,134448,HealthSuraksha,quarterly ,202205,2426460,NON-PREMIUM,Personal-liberty,Please-pay-your-installment,18087,29/09/2020,221184,Sona,7782,7939,Property-Insurance,49296,3056,34296,120CC,Accidental-death-benefit-rider,26913,-63087,21913,80CCC,TRUE,14/03/2020,19/12/2020
65,HealthSuraksha,16/06/2015,online,128603006,07/08/2019,7517,13635,13400,15811,1456,122,27035,135572,HealthSuraksha,yearly,98091,1177092,NON-PREMIUM,Personal-liberty,Please-pay-your-installment,17949,05/05/2020,111491,Shubham,7844,7930,Life-Cover,41361,3222,26361,80BB,Accidental-death-benefit-rider,37594,-52406,32594,50BC,FALSE,16/02/2020,22/08/2020
66,HealthSuraksha,01/08/2016,cash,359174310,13/12/2019,4968,17748,12331,10198,1672,107,30079,109110,HealthSuraksha,half-yearly,281301,3375612,NON-PREMIUM,Health,Its Good,18177,03/12/2020,293632,Sona,7283,8264,Property-Insurance,34762,1011,19762,120CC,Critical-illness-rider,45605,-44395,40605,80CCC,TRUE,18/06/2020,03/12/2020
67,iHealthPlan,04/12/2017,email,327735236,02/03/2019,2494,11274,11854,18026,1805,135,23128,208936,LifePayMoneyBack,half-yearly,425430,5105160,NON-PREMIUM,Health,Its Good,18074,27/03/2020,437284,Raja,546,2399,Property-Insurance,35529,3418,20529,80CCC,Disability-rider,45619,-44381,40619,80CCC,FALSE,12/05/2020,03/03/2020
68,HealthSuraksha,30/06/2004,online,432040308,20/06/2019,8503,16586,13341,17758,623,167,29927,98202,HealthSuraksha,half-yearly,365408,4384896,PREMIUM,educational ,Its Good,17940,28/11/2020,378749,Raja,1770,7139,Car-Insurance,42294,1305,27294,80BB,Term-rider,33346,-56654,28346,150CB,FALSE,11/06/2020,20/08/2020
69,iHealthPlan,23/11/2001,cash,515201500,18/11/2019,9107,12798,19466,10999,689,184,32264,304753,LifePayMoneyBack,half-yearly,193151,2317812,NON-PREMIUM,Health,Please-pay-your-installment,18257,27/10/2020,212617,Shubham,8913,4268,Life-Cover,46159,4556,31159,80CCC,Critical-illness-rider,32851,-57149,27851,150CB,TRUE,03/09/2020,12/05/2020
70,iHealthPlan,09/01/1995,online,176128181,24/05/2019,1606,15030,18392,9171,155,173,33422,260720,HealthSuraksha,yearly,247738,2972856,PREMIUM,Health,Its Good,18046,21/02/2020,266130,Shubham,6113,7008,Life-Cover,23517,4998,8517,120CC,Critical-illness-rider,48814,-41186,43814,50BC,TRUE,18/11/2020,16/02/2020
